,Rank,Features,Accuracy,Precision,Recall,F1 score,Learning_rate,Loss,Max_depth,Max_features,Min_samples_split,N_estimators
272,273,"sinI, n",1.000,0.940,0.932,0.935,0.1,exponential,4.0,sqrt,3,85
273,274,"a, n",1.000,0.949,0.924,0.934,0.1,exponential,,sqrt,3,45
274,275,"a, e",1.000,0.941,0.932,0.934,0.1,log_loss,,sqrt,3,5
275,276,"a, e",1.000,0.941,0.932,0.934,0.1,log_loss,,sqrt,3,15
276,277,"a, e",1.000,0.941,0.932,0.934,0.1,log_loss,,sqrt,3,25
277,278,"a, e",1.000,0.941,0.932,0.934,0.1,log_loss,,sqrt,3,35
278,279,"a, e",1.000,0.941,0.932,0.934,0.1,log_loss,,sqrt,3,45
279,280,"a, e",1.000,0.941,0.932,0.934,0.1,log_loss,,sqrt,3,55
280,281,"a, e",1.000,0.941,0.932,0.934,0.1,log_loss,,sqrt,3,65
281,282,"a, e",1.000,0.941,0.932,0.934,0.2,log_loss,,sqrt,3,5
282,283,"a, e",1.000,0.941,0.932,0.934,0.2,log_loss,,sqrt,3,15
283,284,"a, e",1.000,0.941,0.932,0.934,0.2,log_loss,,sqrt,3,25
284,285,"a, e",1.000,0.941,0.932,0.934,0.2,log_loss,,sqrt,3,35
285,286,"a, e",1.000,0.941,0.932,0.934,0.2,log_loss,,sqrt,3,45
286,287,"a, e",1.000,0.941,0.932,0.934,0.2,log_loss,,sqrt,3,55
287,288,"a, e",1.000,0.941,0.932,0.934,0.2,log_loss,,sqrt,3,65
288,289,"a, e",1.000,0.941,0.932,0.934,0.2,log_loss,,sqrt,3,75
289,290,"a, e",1.000,0.941,0.932,0.934,0.2,log_loss,,sqrt,3,85
290,291,"a, e",1.000,0.941,0.932,0.934,0.2,log_loss,,sqrt,3,95
291,292,"a, n",1.000,0.942,0.932,0.934,0.2,exponential,4.0,sqrt,3,25
292,293,"e, n",1.000,0.941,0.932,0.934,0.1,exponential,,sqrt,3,55
